pt_c,soc_c,llt_n,soc_n
10069945,10005329,Megakaryocyte destruction increased,Blood and lymphatic system disorders
10073391,10005329,Platelet dysfunction,Blood and lymphatic system disorders
10087436,10005329,Dysmegakaryopoiesis,Blood and lymphatic system disorders
10035540,10005329,Platelet production decreased,Blood and lymphatic system disorders
10043554,10005329,Thrombocytopenia,Blood and lymphatic system disorders
10043557,10005329,Thrombocytopenia neonatal,Blood and lymphatic system disorders
10043561,10005329,Thrombocytopenic purpura,Blood and lymphatic system disorders
10043648,10005329,Thrombotic thrombocytopenic purpura,Blood and lymphatic system disorders
10062506,10005329,Heparin-induced thrombocytopenia,Blood and lymphatic system disorders
10072326,10005329,Non-immune heparin associated thrombocytopenia,Blood and lymphatic system disorders
10076747,10005329,Acquired amegakaryocytic thrombocytopenia,Blood and lymphatic system disorders
10081070,10005329,Spontaneous heparin-induced thrombocytopenia syndrome,Blood and lymphatic system disorders
10083812,10005329,Autoimmune heparin-induced thrombocytopenia,Blood and lymphatic system disorders
10083842,10005329,Immune thrombocytopenia,Blood and lymphatic system disorders
10086158,10005329,Thrombosis with thrombocytopenia syndrome,Blood and lymphatic system disorders
10043563,10005329,Thrombocytosis,Blood and lymphatic system disorders
10083158,10005329,Secondary thrombocytosis,Blood and lymphatic system disorders
10036051,10005329,Polycythaemia,Blood and lymphatic system disorders
10042217,10005329,Stress polycythaemia,Blood and lymphatic system disorders
10060476,10005329,Polycythaemia neonatorum,Blood and lymphatic system disorders
10002536,10005329,Anisocytosis,Blood and lymphatic system disorders
10014489,10005329,Elliptocytosis,Blood and lymphatic system disorders
10015287,10005329,Erythropenia,Blood and lymphatic system disorders
10019372,10005329,Heinz bodies,Blood and lymphatic system disorders
10025382,10005329,Macrocytosis,Blood and lymphatic system disorders
10027540,10005329,Microcytosis,Blood and lymphatic system disorders
10029825,10005329,Nucleated red cells,Blood and lymphatic system disorders
10035774,10005329,Poikilocytosis,Blood and lymphatic system disorders
10036040,10005329,Polychromasia,Blood and lymphatic system disorders
10037507,10005329,Punctate basophilia,Blood and lymphatic system disorders
10038795,10005329,Reticulocytopenia,Blood and lymphatic system disorders
10038796,10005329,Reticulocytosis,Blood and lymphatic system disorders
10039238,10005329,Rouleaux formation,Blood and lymphatic system disorders
10049190,10005329,Red blood cell agglutination,Blood and lymphatic system disorders
10049466,10005329,Erythroblastosis,Blood and lymphatic system disorders
10049467,10005329,Erythropoiesis abnormal,Blood and lymphatic system disorders
10049522,10005329,Anisochromia,Blood and lymphatic system disorders
10050789,10005329,Hypochromasia,Blood and lymphatic system disorders
10050808,10005329,Hyperchromasia,Blood and lymphatic system disorders
10056210,10005329,Red blood cell vacuolisation,Blood and lymphatic system disorders
10061548,10005329,Red blood cell abnormality,Blood and lymphatic system disorders
10076534,10005329,Schistocytosis,Blood and lymphatic system disorders
10014472,10005329,Elephantiasis,Blood and lymphatic system disorders
10020094,10005329,Hilar lymphadenopathy,Blood and lymphatic system disorders
10025180,10005329,Lymph node fibrosis,Blood and lymphatic system disorders
10025182,10005329,Lymph node pain,Blood and lymphatic system disorders
10025188,10005329,Lymphadenitis,Blood and lymphatic system disorders
10025197,10005329,Lymphadenopathy,Blood and lymphatic system disorders
10025205,10005329,Lymphadenopathy mediastinal,Blood and lymphatic system disorders
10033969,10005329,Paratracheal lymphadenopathy,Blood and lymphatic system disorders
10037127,10005329,Pseudolymphoma,Blood and lymphatic system disorders
10051808,10005329,Lymphoid tissue hyperplasia,Blood and lymphatic system disorders
10051928,10005329,Lymphadenocyst,Blood and lymphatic system disorders
10052314,10005329,Lymphatic disorder,Blood and lymphatic system disorders
10052315,10005329,Lymphatic obstruction,Blood and lymphatic system disorders
10056284,10005329,Lymph node calcification,Blood and lymphatic system disorders
10056466,10005329,Lymphatic sinus catarrh,Blood and lymphatic system disorders
10067015,10005329,Retroperitoneal lymphadenopathy,Blood and lymphatic system disorders
10073485,10005329,Abdominal lymphadenopathy,Blood and lymphatic system disorders
10074270,10005329,Lymph node haemorrhage,Blood and lymphatic system disorders
10074339,10005329,Dermatopathic lymphadenopathy,Blood and lymphatic system disorders
10078418,10005329,Lymphatic insufficiency,Blood and lymphatic system disorders
10078494,10005329,Granulomatous lymphadenitis,Blood and lymphatic system disorders
10079123,10005329,Lymphoid tissue hypoplasia,Blood and lymphatic system disorders
10082725,10005329,Lymph node rupture,Blood and lymphatic system disorders
10083242,10005329,Lymph node ulcer,Blood and lymphatic system disorders
10085419,10005329,Necrotic lymphadenopathy,Blood and lymphatic system disorders
10086007,10005329,Allergic lymphangitis,Blood and lymphatic system disorders
10086663,10005329,Sarcoidosis of lymph node,Blood and lymphatic system disorders
10087890,10005329,Intrapulmonary lymphadenopathy,Blood and lymphatic system disorders
10088083,10005329,Mesenteric lymphadenitis,Blood and lymphatic system disorders
10038799,10005329,Reticuloendothelial dysfunction,Blood and lymphatic system disorders
10038802,10005329,Reticuloendothelial system stimulated,Blood and lymphatic system disorders
10051929,10005329,Lymphoplasia,Blood and lymphatic system disorders
10020769,10005329,Hypersplenism,Blood and lymphatic system disorders
10041633,10005329,Spleen disorder,Blood and lymphatic system disorders
10041646,10005329,Splenic haematoma,Blood and lymphatic system disorders
10041647,10005329,Splenic haemorrhage,Blood and lymphatic system disorders
10041648,10005329,Splenic infarction,Blood and lymphatic system disorders
10041659,10005329,Splenic vein thrombosis,Blood and lymphatic system disorders
10041660,10005329,Splenomegaly,Blood and lymphatic system disorders
10041661,10005329,Splenorenal shunt,Blood and lymphatic system disorders
10050294,10005329,Spleen congestion,Blood and lymphatic system disorders
10054829,10005329,Splenic lesion,Blood and lymphatic system disorders
10055047,10005329,Splenic necrosis,Blood and lymphatic system disorders
10058339,10005329,Splenitis,Blood and lymphatic system disorders
10064249,10005329,Splenic granuloma,Blood and lymphatic system disorders
10067823,10005329,Splenic varices,Blood and lymphatic system disorders
10068122,10005329,Splenic vein occlusion,Blood and lymphatic system disorders
10068608,10005329,Splenic calcification,Blood and lymphatic system disorders
10068662,10005329,Splenic varices haemorrhage,Blood and lymphatic system disorders
10068677,10005329,Splenic embolism,Blood and lymphatic system disorders
10068851,10005329,Splenic peliosis,Blood and lymphatic system disorders
10072207,10005329,Splenic fibrosis,Blood and lymphatic system disorders
10074600,10005329,Splenic artery thrombosis,Blood and lymphatic system disorders
10074601,10005329,Splenic thrombosis,Blood and lymphatic system disorders
10075738,10005329,Splenic artery perforation,Blood and lymphatic system disorders
10076600,10005329,Splenic induration,Blood and lymphatic system disorders
10076915,10005329,Spleen atrophy,Blood and lymphatic system disorders
10077260,10005329,Banti's syndrome,Blood and lymphatic system disorders
10078344,10005329,Perisplenitis,Blood and lymphatic system disorders
10079678,10005329,Splenic artery stenosis,Blood and lymphatic system disorders
10079826,10005329,Acquired asplenia,Blood and lymphatic system disorders
10079831,10005329,Hyposplenism,Blood and lymphatic system disorders
10080153,10005329,Spleen follicular hyperplasia,Blood and lymphatic system disorders
10083384,10005329,Subcapsular splenic haematoma,Blood and lymphatic system disorders
10084948,10005329,Spleen ischaemia,Blood and lymphatic system disorders
10087405,10005329,Spontaneous splenic rupture,Blood and lymphatic system disorders
10087502,10005329,Acquired hypermobile spleen,Blood and lymphatic system disorders
10087504,10005329,Splenic torsion,Blood and lymphatic system disorders
10061381,10005329,Thymus disorder,Blood and lymphatic system disorders
10065588,10005329,Thymus enlargement,Blood and lymphatic system disorders
10079570,10005329,Thymic cyst,Blood and lymphatic system disorders
10081351,10005329,Hyperplasia of thymic epithelium,Blood and lymphatic system disorders
10088782,10005329,Incomplete thymus involution,Blood and lymphatic system disorders
10004173,10005329,Basophilia,Blood and lymphatic system disorders
10018690,10005329,Granulocytosis,Blood and lymphatic system disorders
10024328,10005329,Leukaemoid reaction,Blood and lymphatic system disorders
10024378,10005329,Leukocytosis,Blood and lymphatic system disorders
10025280,10005329,Lymphocytosis,Blood and lymphatic system disorders
10027906,10005329,Monocytosis,Blood and lymphatic system disorders
10029379,10005329,Neutrophilia,Blood and lymphatic system disorders
10035485,10005329,Plasmacytosis,Blood and lymphatic system disorders
10049258,10005329,Lymphoblastosis,Blood and lymphatic system disorders
10051809,10005329,Myelocytosis,Blood and lymphatic system disorders
10058008,10005329,Pseudomononucleosis,Blood and lymphatic system disorders
10062049,10005329,Lymphocytic infiltration,Blood and lymphatic system disorders
10072081,10005329,Bandaemia,Blood and lymphatic system disorders
10074608,10005329,Leukostasis syndrome,Blood and lymphatic system disorders
10074668,10005329,Monoclonal B-cell lymphocytosis,Blood and lymphatic system disorders
10075720,10005329,Polyclonal B-cell lymphocytosis,Blood and lymphatic system disorders
10078862,10005329,Hyperleukocytosis,Blood and lymphatic system disorders
10086255,10005329,Diffuse infiltrative lymphocytosis syndrome,Blood and lymphatic system disorders
10087505,10005329,T-cell lymphocytosis,Blood and lymphatic system disorders
10014940,10005329,Eosinopenia,Blood and lymphatic system disorders
10024384,10005329,Leukopenia,Blood and lymphatic system disorders
10025279,10005329,Lymphocytopenia neonatal,Blood and lymphatic system disorders
10025327,10005329,Lymphopenia,Blood and lymphatic system disorders
10027905,10005329,Monocytopenia,Blood and lymphatic system disorders
10075813,10005329,Basophilopenia,Blood and lymphatic system disorders
10080721,10005329,B-cell aplasia,Blood and lymphatic system disorders
10083934,10005329,Idiopathic CD4 lymphocytopenia,Blood and lymphatic system disorders
10001507,10005329,Agranulocytosis,Blood and lymphatic system disorders
10016288,10005329,Febrile neutropenia,Blood and lymphatic system disorders
10018687,10005329,Granulocytopenia,Blood and lymphatic system disorders
10018688,10005329,Granulocytopenia neonatal,Blood and lymphatic system disorders
10029354,10005329,Neutropenia,Blood and lymphatic system disorders
10029358,10005329,Neutropenia neonatal,Blood and lymphatic system disorders
10051645,10005329,Idiopathic neutropenia,Blood and lymphatic system disorders
10053176,10005329,Cyclic neutropenia,Blood and lymphatic system disorders
10055128,10005329,Autoimmune neutropenia,Blood and lymphatic system disorders
10074832,10005329,Benign ethnic neutropenia,Blood and lymphatic system disorders
10050825,10005329,Polymorphonuclear chromatin clumping,Blood and lymphatic system disorders
10053430,10005329,Erythrophagocytosis,Blood and lymphatic system disorders
10053775,10005329,B-lymphocyte abnormalities,Blood and lymphatic system disorders
10058216,10005329,Leukocyte vacuolisation,Blood and lymphatic system disorders
10061314,10005329,Neutrophil function disorder,Blood and lymphatic system disorders
10061414,10005329,White blood cell disorder,Blood and lymphatic system disorders
10062081,10005329,Plasma cell disorder,Blood and lymphatic system disorders
10014950,10005329,Eosinophilia,Blood and lymphatic system disorders
10014952,10005329,Eosinophilia myalgia syndrome,Blood and lymphatic system disorders
10048643,10005329,Hypereosinophilic syndrome,Blood and lymphatic system disorders
10075185,10005329,Allergic eosinophilia,Blood and lymphatic system disorders
10087400,10005329,Paraneoplastic eosinophilia,Blood and lymphatic system disorders
10019008,10005329,Haemorrhagic disease of newborn,Blood and lymphatic system disorders
10019009,10005329,Haemorrhagic disorder,Blood and lymphatic system disorders
10021688,10005329,Increased tendency to bruise,Blood and lymphatic system disorders
10062713,10005329,Haemorrhagic diathesis,Blood and lymphatic system disorders
10065304,10005329,Spontaneous haematoma,Blood and lymphatic system disorders
10074557,10005329,Spontaneous haemorrhage,Blood and lymphatic system disorders
10021085,10005329,Hypoprothrombinaemia,Blood and lymphatic system disorders
10051125,10005329,Hypofibrinogenaemia,Blood and lymphatic system disorders
10053745,10005329,Acquired haemophilia,Blood and lymphatic system disorders
10058517,10005329,Hypothrombinaemia,Blood and lymphatic system disorders
10058518,10005329,Hypothromboplastinaemia,Blood and lymphatic system disorders
10067787,10005329,Coagulation factor deficiency,Blood and lymphatic system disorders
10068370,10005329,Acquired protein S deficiency,Blood and lymphatic system disorders
10069495,10005329,Acquired Von Willebrand's disease,Blood and lymphatic system disorders
10074561,10005329,Acquired antithrombin III deficiency,Blood and lymphatic system disorders
10082745,10005329,Acquired factor VIII deficiency,Blood and lymphatic system disorders
10082746,10005329,Acquired factor XI deficiency,Blood and lymphatic system disorders
10082747,10005329,Acquired factor IX deficiency,Blood and lymphatic system disorders
10086006,10005329,Acquired factor V deficiency,Blood and lymphatic system disorders
10057739,10005329,Purpura non-thrombocytopenic,Blood and lymphatic system disorders
10002817,10005329,Antiphospholipid syndrome,Blood and lymphatic system disorders
10009732,10005329,Coagulation disorder neonatal,Blood and lymphatic system disorders
10009802,10005329,Coagulopathy,Blood and lymphatic system disorders
10013442,10005329,Disseminated intravascular coagulation,Blood and lymphatic system disorders
10013443,10005329,Disseminated intravascular coagulation in newborn,Blood and lymphatic system disorders
10020608,10005329,Hypercoagulation,Blood and lymphatic system disorders
10020973,10005329,Hypocoagulable state,Blood and lymphatic system disorders
10043645,10005329,Thrombotic microangiopathy,Blood and lymphatic system disorders
10048619,10005329,Factor VIII inhibition,Blood and lymphatic system disorders
10049862,10005329,Abnormal clotting factor,Blood and lymphatic system disorders
10051122,10005329,Acquired dysfibrinogenaemia,Blood and lymphatic system disorders
10051124,10005329,Hyperfibrinogenaemia,Blood and lymphatic system disorders
10051778,10005329,Factor IX inhibition,Blood and lymphatic system disorders
10056335,10005329,Factor V inhibition,Blood and lymphatic system disorders
10056867,10005329,Activated protein C resistance,Blood and lymphatic system disorders
10058516,10005329,Hyperthrombinaemia,Blood and lymphatic system disorders
10059598,10005329,Heparin resistance,Blood and lymphatic system disorders
10059608,10005329,Factor XIII inhibition,Blood and lymphatic system disorders
10067920,10005329,Hyperprothrombinaemia,Blood and lymphatic system disorders
10070690,10005329,Von Willebrand's factor inhibition,Blood and lymphatic system disorders
10074737,10005329,Hyperfibrinolysis,Blood and lymphatic system disorders
10075240,10005329,Factor VII inhibition,Blood and lymphatic system disorders
10075241,10005329,Factor X inhibition,Blood and lymphatic system disorders
10075242,10005329,Factor II inhibition,Blood and lymphatic system disorders
10085219,10005329,Lupus anticoagulant hypoprothrombinaemia syndrome,Blood and lymphatic system disorders
10088924,10005329,Pseudo-heparin resistance,Blood and lymphatic system disorders
10001115,10007541,Adams-Stokes syndrome,Cardiac disorders
10003671,10007541,Atrioventricular block,Cardiac disorders
10003673,10007541,Atrioventricular block complete,Cardiac disorders
10003674,10007541,Atrioventricular block first degree,Cardiac disorders
10003677,10007541,Atrioventricular block second degree,Cardiac disorders
10006578,10007541,Bundle branch block,Cardiac disorders
10006579,10007541,Bundle branch block bilateral,Cardiac disorders
10006580,10007541,Bundle branch block left,Cardiac disorders
10006582,10007541,Bundle branch block right,Cardiac disorders
10010276,10007541,Conduction disorder,Cardiac disorders
10012118,10007541,Defect conduction intraventricular,Cardiac disorders
10024803,10007541,Long QT syndrome,Cardiac disorders
10040736,10007541,Sinoatrial block,Cardiac disorders
10044644,10007541,Trifascicular block,Cardiac disorders
10048015,10007541,Wolff-Parkinson-White syndrome,Cardiac disorders
10057393,10007541,Bifascicular block,Cardiac disorders
10064191,10007541,Atrial conduction time prolongation,Cardiac disorders
10067618,10007541,Accessory cardiac pathway,Cardiac disorders
10068180,10007541,Atrioventricular conduction time shortened,Cardiac disorders
10069571,10007541,Atrioventricular dissociation,Cardiac disorders
10071710,10007541,Lenegre's disease,Cardiac disorders
10077503,10007541,Paroxysmal atrioventricular block,Cardiac disorders
10082089,10007541,Frederick's syndrome,Cardiac disorders
10084085,10007541,Atrioventricular node dysfunction,Cardiac disorders
10086740,10007541,Fascicular block,Cardiac disorders
10002611,10007541,Anomalous atrioventricular excitation,Cardiac disorders
10003119,10007541,Arrhythmia,Cardiac disorders
10003124,10007541,Arrhythmia neonatal,Cardiac disorders
10006093,10007541,Bradycardia,Cardiac disorders
10006094,10007541,Bradycardia foetal,Cardiac disorders
10015856,10007541,Extrasystoles,Cardiac disorders
10016847,10007541,Foetal arrhythmia,Cardiac disorders
10033929,10007541,Parasystole,Cardiac disorders
10043071,10007541,Tachycardia,Cardiac disorders
10043074,10007541,Tachycardia foetal,Cardiac disorders
10043079,10007541,Tachycardia paroxysmal,Cardiac disorders
10047997,10007541,Withdrawal arrhythmia,Cardiac disorders
10049447,10007541,Tachyarrhythmia,Cardiac disorders
10049765,10007541,Bradyarrhythmia,Cardiac disorders
10049775,10007541,Neonatal tachycardia,Cardiac disorders
10050106,10007541,Paroxysmal arrhythmia,Cardiac disorders
10052840,10007541,Cardiac flutter,Cardiac disorders
10054015,10007541,Agonal rhythm,Cardiac disorders
10056471,10007541,Bradycardia neonatal,Cardiac disorders
10058155,10007541,Heart alternation,Cardiac disorders
10058156,10007541,Reperfusion arrhythmia,Cardiac disorders
10061158,10007541,Foetal heart rate disorder,Cardiac disorders
10061592,10007541,Cardiac fibrillation,Cardiac disorders
10063080,10007541,Postural orthostatic tachycardia syndrome,Cardiac disorders
10067207,10007541,Rebound tachycardia,Cardiac disorders
10068627,10007541,Chronotropic incompetence,Cardiac disorders
10074636,10007541,Foetal heart rate deceleration abnormality,Cardiac disorders
10074638,10007541,Baseline foetal heart rate variability disorder,Cardiac disorders
10074641,10007541,Nonreassuring foetal heart rate pattern,Cardiac disorders
10074642,10007541,Foetal heart rate acceleration abnormality,Cardiac disorders
10074643,10007541,Sinusoidal foetal heart rate pattern,Cardiac disorders
10076999,10007541,Bezold-Jarisch reflex,Cardiac disorders
10077575,10007541,Foetal tachyarrhythmia,Cardiac disorders
10078310,10007541,Central bradycardia,Cardiac disorders
10082054,10007541,Neonatal bradyarrhythmia,Cardiac disorders
10082055,10007541,Neonatal tachyarrhythmia,Cardiac disorders
10083709,10007541,Holiday heart syndrome,Cardiac disorders
10084073,10007541,BRASH syndrome,Cardiac disorders
10086230,10007541,Early repolarisation syndrome,Cardiac disorders
10003130,10007541,Arrhythmia supraventricular,Cardiac disorders
10003658,10007541,Atrial fibrillation,Cardiac disorders
10003662,10007541,Atrial flutter,Cardiac disorders
10003668,10007541,Atrial tachycardia,Cardiac disorders
10029458,10007541,Nodal arrhythmia,Cardiac disorders
10029470,10007541,Nodal rhythm,Cardiac disorders
10040738,10007541,Sinus arrest,Cardiac disorders
10040739,10007541,Sinus arrhythmia,Cardiac disorders
10040741,10007541,Sinus bradycardia,Cardiac disorders
10040752,10007541,Sinus tachycardia,Cardiac disorders
10042602,10007541,Supraventricular extrasystoles,Cardiac disorders
10042604,10007541,Supraventricular tachycardia,Cardiac disorders
10047818,10007541,Wandering pacemaker,Cardiac disorders
10065342,10007541,Supraventricular tachyarrhythmia,Cardiac disorders
10071666,10007541,Atrial parasystole,Cardiac disorders
10074640,10007541,Junctional ectopic tachycardia,Cardiac disorders
10075889,10007541,Sinus node dysfunction,Cardiac disorders
10082188,10007541,Neonatal sinus bradycardia,Cardiac disorders
10082191,10007541,Neonatal sinus tachycardia,Cardiac disorders
10085756,10007541,Atrial escape rhythm,Cardiac disorders
10087237,10007541,Atrial standstill,Cardiac disorders
10088339,10007541,Ectopic atrial rhythm,Cardiac disorders
10007515,10007541,Cardiac arrest,Cardiac disorders
10007516,10007541,Cardiac arrest neonatal,Cardiac disorders
10007617,10007541,Cardio-respiratory arrest,Cardiac disorders
10007618,10007541,Cardio-respiratory arrest neonatal,Cardiac disorders
10039111,10007541,Rhythm idioventricular,Cardiac disorders
10044066,10007541,Torsade de pointes,Cardiac disorders
10047281,10007541,Ventricular arrhythmia,Cardiac disorders
10047284,10007541,Ventricular asystole,Cardiac disorders
10047289,10007541,Ventricular extrasystoles,Cardiac disorders
10047290,10007541,Ventricular fibrillation,Cardiac disorders
10047294,10007541,Ventricular flutter,Cardiac disorders
10047302,10007541,Ventricular tachycardia,Cardiac disorders
10049003,10007541,Accelerated idioventricular rhythm,Cardiac disorders
10049761,10007541,Ventricular pre-excitation,Cardiac disorders
10058151,10007541,Pulseless electrical activity,Cardiac disorders
10058184,10007541,Ventricular parasystole,Cardiac disorders
